Transaction,Items
Transaction 1,"Bananas,Tomatoes,Fish,Cereal"
Transaction 2,"Bread,Milk,Yogurt,Cheese,Onions,Apples,Beef,Potatoes,Fish,Eggs,Tomatoes,Chicken"
Transaction 3,"Carrots,Oranges,Onions,Bananas,Bread,Fish,Tomatoes,Apples,Rice,Beef,Spinach,Pasta,Butter,Eggs,Yogurt"
Transaction 4,"Pasta,Yogurt,Potatoes,Milk,Spinach"
Transaction 5,"Bread,Chicken,Milk,Carrots,Potatoes,Spinach,Eggs,Tomatoes,Oranges,Bananas,Beef,Rice,Yogurt"
Transaction 6,"Eggs,Onions,Carrots,Yogurt,Cereal,Fish,Chicken,Beef,Pasta,Spinach,Apples"
Transaction 7,"Beef,Cereal,Spinach"
Transaction 8,"Pasta,Butter,Bread,Milk"
Transaction 9,"Bread,Eggs,Spinach"
Transaction 10,"Tomatoes,Cereal,Onions,Bananas,Bread,Yogurt,Cheese,Eggs,Oranges,Apples,Potatoes,Spinach,Chicken,Milk,Pasta"
Transaction 11,"Tomatoes,Apples,Carrots"
Transaction 12,"Cereal,Eggs,Chicken,Oranges,Bananas,Yogurt,Carrots,Apples,Milk,Pasta,Potatoes"
Transaction 13,"Cheese,Tomatoes,Chicken,Bread,Beef"
Transaction 14,"Tomatoes,Bread,Carrots,Yogurt,Cereal,Bananas,Fish,Milk,Potatoes,Spinach,Oranges,Butter,Rice"
Transaction 15,"Eggs,Potatoes,Cereal,Bread,Oranges,Onions,Apples,Rice,Bananas,Tomatoes"
Transaction 16,"Butter,Onions"
Transaction 17,"Oranges,Beef,Bread,Rice,Chicken,Onions,Pasta,Tomatoes,Bananas,Cheese,Milk,Eggs,Butter"
Transaction 18,"Spinach,Potatoes,Apples,Butter,Carrots,Yogurt,Chicken,Oranges,Cereal,Cheese,Bread,Bananas,Pasta,Rice,Tomatoes"
Transaction 19,"Oranges,Eggs,Potatoes,Butter,Tomatoes,Apples,Yogurt,Spinach,Pasta,Bread,Fish,Bananas,Milk,Onions,Chicken"
Transaction 20,"Carrots,Rice,Oranges,Potatoes,Apples"
Transaction 21,"Carrots,Rice,Apples,Milk,Bread,Onions,Spinach,Beef,Chicken,Pasta,Yogurt"
Transaction 22,"Apples,Bananas,Yogurt,Carrots,Onions"
Transaction 23,"Bananas,Cheese,Eggs,Potatoes,Chicken,Yogurt,Bread,Beef"
Transaction 24,"Tomatoes,Spinach,Potatoes,Fish,Pasta,Rice,Onions,Cheese,Eggs,Chicken,Bread,Carrots"
Transaction 25,"Eggs,Yogurt,Spinach,Carrots,Oranges,Fish,Bananas,Potatoes,Butter,Bread,Cheese,Onions,Chicken"
Transaction 26,"Eggs,Spinach,Fish,Cereal,Oranges,Tomatoes,Milk,Bananas"
Transaction 27,"Yogurt,Milk,Onions,Oranges,Fish,Spinach,Potatoes,Bread"
Transaction 28,"Chicken,Carrots,Pasta,Fish,Cheese,Oranges,Yogurt,Tomatoes,Bananas,Beef,Eggs,Bread,Onions,Potatoes"
Transaction 29,"Bananas,Milk,Potatoes,Apples,Cereal,Tomatoes,Chicken,Onions,Fish,Spinach,Yogurt"
Transaction 30,"Potatoes,Bread,Fish,Tomatoes,Spinach,Pasta,Oranges,Bananas,Apples,Carrots,Beef"
Transaction 31,"Butter,Yogurt,Bananas,Beef"
Transaction 32,"Beef,Butter,Tomatoes"
Transaction 33,"Bread,Potatoes,Beef,Tomatoes,Yogurt,Chicken,Bananas,Oranges,Pasta,Apples,Carrots"
Transaction 34,"Milk,Rice,Oranges"
Transaction 35,"Carrots,Oranges,Milk,Bananas,Yogurt,Spinach,Tomatoes,Butter,Apples,Beef,Potatoes,Rice,Bread,Pasta"
Transaction 36,"Cheese,Butter,Rice,Beef,Oranges,Chicken,Bread,Potatoes,Eggs,Cereal,Bananas,Fish,Onions"
Transaction 37,"Cheese,Eggs,Fish,Bread"
Transaction 38,"Chicken,Tomatoes,Cheese,Fish,Bananas,Beef,Carrots,Spinach,Rice"
Transaction 39,"Spinach,Cereal,Onions,Bananas,Beef,Milk,Tomatoes,Butter,Apples,Chicken,Oranges,Carrots,Pasta,Potatoes,Rice"
Transaction 40,"Oranges,Yogurt,Chicken,Cereal,Apples,Butter,Potatoes,Spinach,Onions,Cheese"
Transaction 41,"Chicken,Beef,Onions,Butter,Fish"
Transaction 42,"Spinach,Oranges,Cereal,Pasta,Cheese"
Transaction 43,"Spinach,Butter,Cheese"
Transaction 44,"Fish,Chicken,Spinach,Bread,Yogurt,Potatoes,Milk,Butter,Beef,Apples,Oranges"
Transaction 45,"Eggs,Tomatoes,Milk,Butter,Bananas,Rice,Apples,Cheese,Cereal,Yogurt,Bread,Chicken"
Transaction 46,"Fish,Yogurt,Apples,Eggs,Beef,Milk,Butter,Rice,Bananas"
Transaction 47,"Bread,Oranges"
Transaction 48,"Milk,Rice,Beef,Chicken,Fish,Apples,Onions,Pasta,Cereal,Spinach,Carrots,Bread"
Transaction 49,"Onions,Butter,Eggs,Spinach,Beef,Cereal,Cheese,Fish,Rice,Bread,Yogurt,Chicken,Tomatoes,Carrots"
Transaction 50,"Bread,Butter,Rice,Pasta,Tomatoes,Carrots,Cereal,Fish,Bananas,Onions,Cheese"
